#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2025-03-06-11-34-09
#fields	ts	uids	client_addr	server_addr	mac	host_name	client_fqdn	domain	requested_addr	assigned_addr	lease_time	client_message	server_message	msg_types	duration
#types	time	set[string]	addr	addr	string	string	string	string	addr	addr	interval	string	string	vector[string]	interval
1741240752.271872	CmSWqz3LNUjbOXK7ta	-	-	80:30:49:a3:a6:0b	DESKTOP-AMJNEE6	DESKTOP-AMJNEE6	-	172.21.149.33	-	-	-	-	REQUEST	0.000000
1741240772.846490	CmSWqz3LNUjbOXK7ta	-	-	d6:d6:d9:51:b2:3b	OnePlus-11R-5G	-	-	172.21.148.196	-	-	-	-	REQUEST	0.000000
1741240788.305077	CmSWqz3LNUjbOXK7ta	-	-	ea:e6:02:24:fe:d0	Redmi-Note-11	-	-	172.21.148.158	-	-	-	-	DISCOVER,REQUEST	0.000312
1741240790.148078	CmSWqz3LNUjbOXK7ta	-	-	a8:41:f4:0c:96:c9	VamadevsLaptop	VamadevsLaptop	-	172.21.148.247	-	-	-	-	REQUEST	0.000000
1741240833.462199	CmSWqz3LNUjbOXK7ta	-	-	0a:a3:f0:2a:be:12	Nothing-Phone-2a	-	-	-	-	-	-	-	DISCOVER,DISCOVER	1.023698
1741240827.830477	CmSWqz3LNUjbOXK7ta	-	-	80:30:49:a3:a6:0b	DESKTOP-AMJNEE6	DESKTOP-AMJNEE6	-	172.21.149.33	-	-	-	-	REQUEST	0.000000
1741240836.738743	CmSWqz3LNUjbOXK7ta	-	-	e2:65:27:01:d7:c8	Galaxy-M30	-	-	172.21.148.163	-	-	-	-	DISCOVER,REQUEST	0.000396
1741240849.948269	CmSWqz3LNUjbOXK7ta	-	-	b6:9d:27:00:f1:9b	I2217	-	-	-	-	-	-	-	DISCOVER	0.000000
1741240859.983382	CJtvNk3sYPeZShE7Ea,CmSWqz3LNUjbOXK7ta	172.21.149.26	172.21.148.1	e8:fb:1c:ed:6a:b9	LAPTOP-3024E8GC	LAPTOP-3024E8GC	-	172.21.149.26	172.21.149.26	21600.000000	-	-	DISCOVER,OFFER,REQUEST,ACK	2.152033
1741240893.058992	CmSWqz3LNUjbOXK7ta	-	-	62:f7:60:b8:d6:cd	Nothing-Phone-2a-Plus	-	-	172.21.149.27	-	-	-	-	DISCOVER,DISCOVER,REQUEST	1.944930
