Timestamp,Container,CPU%
2025-04-24 21:06:24,edu-10.9.0.60,0.01%
2025-04-24 21:06:24,root-10.9.0.30,0.01%
2025-04-24 21:06:24,example-edu-10.9.0.65,0.00%
2025-04-24 21:06:24,spare-edu-10.9.0.66,0.01%
2025-04-24 21:06:24,local-dns-10.9.0.53,0.01%
2025-04-24 21:06:24,user-10.9.0.5,0.00%
2025-04-24 21:06:27,edu-10.9.0.60,0.01%
2025-04-24 21:06:27,root-10.9.0.30,0.00%
2025-04-24 21:06:27,example-edu-10.9.0.65,0.01%
2025-04-24 21:06:27,spare-edu-10.9.0.66,0.01%
2025-04-24 21:06:27,local-dns-10.9.0.53,0.17%
2025-04-24 21:06:27,user-10.9.0.5,1.91%
2025-04-24 21:06:30,edu-10.9.0.60,0.01%
2025-04-24 21:06:30,root-10.9.0.30,0.01%
2025-04-24 21:06:30,example-edu-10.9.0.65,0.00%
2025-04-24 21:06:30,spare-edu-10.9.0.66,0.00%
2025-04-24 21:06:30,local-dns-10.9.0.53,0.00%
2025-04-24 21:06:30,user-10.9.0.5,0.00%
