Timestamp,Container,CPU%
2025-04-24 21:15:49,edu-10.9.0.60,0.01%
2025-04-24 21:15:49,example-edu-10.9.0.65,0.00%
2025-04-24 21:15:49,local-dns-10.9.0.53,0.00%
2025-04-24 21:15:49,root-10.9.0.30,0.00%
2025-04-24 21:15:49,spare-edu-10.9.0.66,0.01%
2025-04-24 21:15:49,user-10.9.0.5,0.00%
2025-04-24 21:15:52,edu-10.9.0.60,0.01%
2025-04-24 21:15:52,example-edu-10.9.0.65,0.00%
2025-04-24 21:15:52,local-dns-10.9.0.53,0.00%
2025-04-24 21:15:52,root-10.9.0.30,0.00%
2025-04-24 21:15:52,spare-edu-10.9.0.66,0.01%
2025-04-24 21:15:52,user-10.9.0.5,0.00%
2025-04-24 21:15:56,edu-10.9.0.60,0.00%
2025-04-24 21:15:56,example-edu-10.9.0.65,0.00%
2025-04-24 21:15:56,local-dns-10.9.0.53,0.12%
2025-04-24 21:15:56,root-10.9.0.30,0.00%
2025-04-24 21:15:56,spare-edu-10.9.0.66,0.00%
2025-04-24 21:15:56,user-10.9.0.5,1.68%
2025-04-24 21:15:59,edu-10.9.0.60,0.01%
2025-04-24 21:15:59,example-edu-10.9.0.65,0.00%
2025-04-24 21:15:59,local-dns-10.9.0.53,0.24%
2025-04-24 21:15:59,root-10.9.0.30,0.01%
2025-04-24 21:15:59,spare-edu-10.9.0.66,0.00%
2025-04-24 21:15:59,user-10.9.0.5,3.51%
2025-04-24 21:16:03,edu-10.9.0.60,0.01%
2025-04-24 21:16:03,example-edu-10.9.0.65,0.01%
2025-04-24 21:16:03,local-dns-10.9.0.53,0.00%
2025-04-24 21:16:03,root-10.9.0.30,0.00%
2025-04-24 21:16:03,spare-edu-10.9.0.66,0.01%
2025-04-24 21:16:03,user-10.9.0.5,1.79%
